id,reading_start_date,reading_end_date
1,2013-01-11,2013-02-10
2,2013-02-11,2013-03-10
3,2013-03-11,2013-04-10
4,2013-04-11,2013-05-10
5,2013-05-11,2013-06-10
6,2013-06-11,2013-07-10
7,2013-07-11,2013-08-10
8,2013-08-11,2013-09-10
9,2013-09-11,2013-10-10
10,2013-10-11,2013-11-10
11,2013-11-11,2013-12-10
12,2013-12-11,2014-01-10
13,2014-01-11,2014-02-10
14,2014-02-11,2014-03-10
15,2014-03-11,2014-04-10
16,2014-04-11,2014-05-10
17,2014-05-11,2014-06-10
18,2014-06-11,2014-07-10
19,2014-07-11,2014-08-10
20,2014-08-11,2014-09-10
21,2014-09-11,2014-10-10
22,2014-10-11,2014-11-10
23,2014-11-11,2014-12-10
24,2014-12-11,2015-01-10
25,2015-01-11,2015-02-10
26,2015-02-11,2015-03-10
27,2015-03-11,2015-04-10
28,2015-04-11,2015-05-10
29,2015-05-11,2015-06-10
30,2015-06-11,2015-07-10
31,2015-07-11,2015-08-10
32,2015-08-11,2015-09-10
33,2015-09-11,2015-10-10
34,2015-10-11,2015-11-10
35,2015-11-11,2015-12-10
36,2015-12-11,2016-01-10
37,2016-01-11,2016-02-10
38,2016-02-11,2016-03-10
39,2016-03-11,2016-04-10
40,2016-04-11,2016-05-10
41,2016-05-11,2016-06-10
42,2016-06-11,2016-07-10
43,2016-07-11,2016-08-10
44,2016-08-11,2016-09-10
45,2016-09-11,2016-10-10
46,2016-10-11,2016-11-10
47,2016-11-11,2016-12-10
48,2016-12-11,2017-01-10
